id,smiles,mw,hbd,hba,rot_bonds,net_charge,ring_count,fsp3,tpsa,aromatic_rings,total_stereo,undefined_stereo,logp,rank,context,target_name,effector_name,reference_ligand_count,centroid_score
s_22____10690152____14025840,CC(C)C(Nc1ccccc1)C(=O)NC1CCCNC1=O,289.38,3.0,3.0,5.0,0,2,0.5,70.23,1,2,0,1.52,2166,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5293996334075928
m_274552____23414882____24933040____13453980,CN1CCCC(CNC(=O)CC(NC(=O)c2ccoc2)C(C)(C)C)C1=O,363.46,2.0,4.0,6.0,0,2,0.632,91.65,1,2,1,1.8,2167,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5293675065040588
m_1626____22064412____22017236,CC(C)(C)N1CCC(NC(=O)CSC(F)(F)F)C1=O,298.33,1.0,3.0,3.0,0,1,0.818,49.41,0,1,1,1.75,2168,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5293480157852173
m_274552____23522542____15966566____25025896,CC1(C)CCN(C(=O)COC2CN(C(=O)C3CCCC(O)C3)C2)CC1CO,382.5,2.0,5.0,5.0,0,3,0.9,90.31,0,3,1,0.63,2169,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5293047428131104
s_276436____14083682____18621822,CC(NC(=O)c1ccccc1)C(=O)OCC(C)(C)n1cccn1,315.37,1.0,5.0,6.0,0,2,0.353,73.22,2,1,0,1.98,2170,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5292944312095642
s_1458____25961192____4603318,Cn1cc(N2CCC(OC(=O)c3cc(O)ncc3F)C2=O)cn1,320.28,1.0,7.0,3.0,0,3,0.286,97.55,2,1,1,0.62,2171,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5292938947677612
m_274552____19635160____24966332____15976840,CN1CCCCC(NC(=O)C2(NC(=O)COc3ccccc3)CCCCC2)C1=O,401.51,2.0,4.0,6.0,0,3,0.591,87.74,1,1,1,2.01,2172,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5292911529541016
s_2230____10738226____21997146,CC(NC(=O)CN1CCN(C(=O)CC#N)CC1)c1ccccc1,314.39,1.0,4.0,5.0,0,2,0.471,76.44,1,1,0,0.92,2173,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.529276430606842
m_279130____28131922____28139470____28196380,CCCN1CC(NC(=O)CC2(c3cn(Cc4ccccc4F)nn3)CC2)CC1=O,399.47,1.0,5.0,8.0,0,4,0.524,80.12,2,1,1,2.01,2174,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5292599201202393
s_22____24033910____9107130,CN1CC(NC(=O)c2ccc3c(c2)CN(C(=O)OC(C)(C)C)CC3)CC1CO,389.5,2.0,5.0,3.0,0,3,0.619,82.11,1,2,0,1.77,2175,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5292512774467468
m_274860____17144820____17204344____23178636,C=C(C)c1cn(-c2cccc(CNC(=O)CN3CCCC(NC(=O)OC(C)(C)C)C3=O)c2)nn1,468.56,2.0,7.0,7.0,0,3,0.458,118.45,2,1,1,2.43,2176,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5292449593544006
s_1458____2767710____26097202,COc1ccc(CN2CC(C(=O)OC3CC(OC)C3)CC2=O)cc1,333.38,0.0,5.0,6.0,0,3,0.556,65.07,1,1,1,1.76,2177,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.529238760471344
s_11____25813826____10684820,COCCn1cc(N2CC(C(=O)N(C)CC3(O)CCN(C(=O)OC(C)(C)C)CC3)CC2=O)cn1,479.58,1.0,8.0,7.0,0,3,0.739,117.44,1,1,1,1.1,2178,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5292314291000366
s_282770____26477418____26578418,CN(C(=O)CC(N)C(=O)OCc1ccccc1)C1CCOC1=O,320.35,1.0,6.0,6.0,0,2,0.438,98.93,1,2,1,0.22,2179,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5292309522628784
s_282770____26471424____26577544,COc1ccccc1N1CCC(NC(=O)c2ccnc3c2CNC3)C1=O,352.39,2.0,5.0,4.0,0,4,0.316,83.56,2,1,1,1.23,2180,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5292170643806458
s_2708____12129758____34893084,CN(Cc1cccc2c1OCCO2)C(=O)NC1CCN(C2CCCCC2)C1=O,387.48,1.0,4.0,4.0,0,4,0.619,71.11,1,1,1,2.53,2181,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.529175341129303
s_22____13401764____59966,CC(NC(=O)COc1ccccc1)C(=O)NC(C(=O)OC(C)(C)C)c1ccccc1,412.49,2.0,5.0,8.0,0,2,0.348,93.73,2,2,1,2.77,2182,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5291519165039062
s_188690____12297700____27706306,Cc1ccc(CN2CCC(NC(=O)Cn3ccc4c(C(=O)O)cccc43)C2=O)cc1,405.45,2.0,4.0,6.0,0,4,0.261,91.64,3,1,1,2.56,2183,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5291257500648499
m_274860____24680696____20815882____17179776,CC1(C)OCC(c2cn(C(C(=O)NC3CCCNC3=O)C(C)(C)C)nn2)O1,379.46,2.0,7.0,4.0,0,3,0.778,107.37,1,3,0,1.08,2184,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5290983319282532
s_282770____26498784____26578834,CCC(NC(=O)c1cccc(OCC(C)N)n1)c1ccccc1,313.4,2.0,4.0,7.0,0,2,0.333,77.24,2,2,1,2.69,2185,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5290879011154175
m_274552____23414852____13729690____25056834,CON1CC(C(=O)NC(C)CCC(=O)N(C)C2CCCCCC2)CC1=O,367.49,1.0,4.0,7.0,0,2,0.842,78.95,0,2,1,1.86,2186,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5290424227714539
m_279130____28137206____28173128____28193858,CC(O)C(C)n1cc(COC2CN(C(=O)CC3CCc4ccccc4C3=O)C2)nn1,412.49,1.0,7.0,7.0,0,4,0.545,97.55,2,3,1,1.78,2187,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5290378332138062
s_1458____9433578____485194,O=C(COC(=O)C1CCCN1c1ccccc1)c1cccc2ccccc12,359.43,0.0,4.0,5.0,0,4,0.217,46.61,3,1,1,4.24,2188,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5290283560752869
m_274552____24795126____24988036____25053138,CC(C(=O)NC1(C)CC(C(=O)N(C)C2CCOC2=O)C1)c1ccn[nH]1,348.4,2.0,5.0,5.0,0,3,0.647,104.39,1,2,1,0.57,2189,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5289909839630127
s_2708____31580030____23936538,CCC(NC(=O)NC(C)C(=O)Nc1ccccc1)c1ccccc1C,339.44,3.0,2.0,6.0,0,2,0.3,70.23,2,2,1,3.77,2190,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5289843678474426
s_527____6813792____7101254,CCN(C(=O)COc1ccc(O)cc1)C1CCN(c2ccccc2)C1=O,354.41,1.0,4.0,6.0,0,3,0.3,70.08,2,1,1,2.42,2191,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5289418697357178
s_2708____15141532____26076010,CN(Cc1cccnc1)C(=O)CNC(=O)NC1CCN(c2ccc(Br)cc2)C1=O,460.33,2.0,4.0,6.0,0,3,0.3,94.64,2,1,1,1.91,2192,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5289381742477417
s_527____4933724____156099,CC(C)N1CCC(NC(=O)c2ccccc2O)C1=O,262.31,2.0,3.0,3.0,0,2,0.429,69.64,1,1,1,1.13,2193,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5289084315299988
s_1458____477920____6507828,CC(C)N1CCCC(OC(=O)Cn2ccccc2=O)C1=O,292.33,0.0,5.0,4.0,0,2,0.533,68.61,1,1,1,0.79,2194,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5288560390472412
s_11____16622678____9743574,CC(C)(C)OC(=O)c1cc(Br)cc(N2CCC(NC(=O)c3ccoc3C3CC3)C2=O)c1,489.37,1.0,5.0,5.0,0,4,0.435,88.85,2,1,1,4.41,2195,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5288540720939636
s_22____29183130____24597400,CCN1Cc2cccc(NC(=O)C(C)NC(=O)c3ccccc3OC)c2C1=O,381.43,2.0,4.0,6.0,0,3,0.286,87.74,2,1,0,2.43,2196,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5288478136062622
s_22____4556452____5726444,CC(C)(NC(=O)Nc1ccccc1)C(=O)NC1CCN(c2ccccc2)C1=O,380.45,3.0,3.0,5.0,0,3,0.286,90.54,2,1,1,2.51,2197,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5288394689559937
s_44____16928214____13978644,Cc1cccc(N2CCC(Nc3cnn(CC(C)(C)O)c3)C2=O)c1,328.42,2.0,5.0,5.0,0,3,0.444,70.39,2,1,1,2.18,2198,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5288358926773071
m_283090____29151234____28455550____28455742,COc1ccc2c(c1)C(C(=O)Nc1cccc(OCc3ccccc3)c1)N(C1CON(C)C1=O)C2=O,487.51,1.0,6.0,7.0,0,5,0.222,97.41,3,2,1,3.18,2199,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5288171172142029
s_240690____24674298____12884236,CCCC(NC(=O)c1cccc(NC)c1)C(=O)c1ccccc1,310.4,2.0,3.0,7.0,0,2,0.263,58.2,2,1,1,3.51,2200,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5288109183311462
m_274552____23414854____24998246____15977904,CN1CCC(NC(=O)COC2CCN(C(=O)C3(O)CCCCCC3)C2)CC1=O,395.5,2.0,5.0,5.0,0,3,0.85,99.18,0,2,1,0.43,2201,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5287885069847107
m_279130____28105800____28139604____28194564,Cc1ccc2c(c1)C(n1cc(-c3ccc(C(=O)NC4CCCCCC4=O)c(C)c3)nn1)CC2,442.56,1.0,5.0,4.0,0,5,0.407,76.88,3,2,1,4.73,2202,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5287383198738098
m_283090____29129352____28395028____28455840,CCc1cccc(NC(=O)C2(C)N(C(C)C(=O)N3CCCCC3)C(=O)CC2(C)C)c1,413.56,1.0,3.0,5.0,0,3,0.625,69.72,1,2,1,3.61,2203,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5287290811538696
s_270004____12129766____8624910,CCOCc1ccc(CNC2CCN(C3CCCCC3)C2=O)o1,320.43,1.0,4.0,7.0,0,3,0.722,54.71,1,1,1,2.84,2204,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5287116169929504
s_1458____13033798____13229334,CC(NC(=O)CCC(=O)OCc1cccc(OC(C)(C)C)c1)c1ccccc1,383.49,1.0,4.0,8.0,0,2,0.391,64.63,2,1,0,4.57,2205,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5287092328071594
m_274552____23414854____15972674____15979654,CC(NC(=O)COC1CCN(C(=O)CC2CCC(=O)C2)C1)c1ccccc1F,390.45,1.0,4.0,7.0,0,3,0.571,75.71,1,3,1,2.38,2206,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5287068486213684
s_240690____7355322____24777232,CCC(CN)C(=O)NC(C)c1cccc(NC(=O)Cc2ccccc2F)c1,371.46,3.0,3.0,8.0,0,2,0.333,84.22,2,2,1,3.17,2207,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5286750793457031
m_274860____24690278____17196388____23178456,CN1CCC(CCNC(=O)c2cccc(-n3cc(-c4cnn(CCF)c4)nn3)c2)C1=O,425.47,1.0,7.0,8.0,0,4,0.381,97.94,3,1,1,1.7,2208,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5286521911621094
s_282770____26511976____26533830,CC(NC(=O)CCC(=O)N1CCNCC1)c1ccccc1,289.38,2.0,3.0,5.0,0,2,0.5,61.44,1,1,1,1.08,2209,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5286411046981812
m_274552____23521070____15973620____15988388,CC(NC(=O)C1COCCN(C(=O)C2CCC(=O)O2)C1)c1ccccc1F,378.4,1.0,5.0,4.0,0,3,0.526,84.94,1,3,1,1.18,2210,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5286383628845215
s_11____10810358____53839,CC(NC(=O)COc1ccc2ccccc2c1)C(=O)NCCc1ccccc1,376.46,2.0,3.0,8.0,0,3,0.217,67.43,3,1,0,3.08,2211,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5286270380020142
m_279130____28116404____28139440____28610578,CN1CCN(C2CCN(C(=O)Cc3cccc(-c4cn(CC5CCCC(=O)N5)nn4)c3)CC2)C1=O,479.58,1.0,6.0,6.0,0,5,0.56,103.67,2,1,0,1.51,2212,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5286232829093933
m_269956____21058132____22414010,CC(C)(C)N1CCC(N2CCN(CC(=O)O)CC2)C1=O,283.37,1.0,4.0,3.0,0,2,0.857,64.09,0,1,1,0.09,2213,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5286038517951965
s_44____30198506____6475720,Cc1cc(Br)cc(CCNC2CCN(C3CCOCC3)C2=O)c1,381.31,1.0,3.0,5.0,0,3,0.611,41.57,1,1,1,2.67,2214,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5285764932632446
s_2430____9869898____7840702,Cc1ccc(-c2cncc(F)c2)cc1NC(=O)NC1CCN(C2CC2)C1=O,368.41,2.0,3.0,4.0,0,4,0.35,74.33,2,1,1,3.08,2215,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5285654067993164
s_240690____16726548____31570376,CN1CCC(N2CCC(NC(=O)c3ccc4c(c3)NCC(C)(C)O4)C2=O)CC1,386.5,2.0,5.0,3.0,0,4,0.619,73.91,1,1,1,1.69,2216,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5285483002662659
s_1458____20865436____26096768,COc1cccc2c1CCC(OC(=O)c1cccc(NC(=O)C3CCC3)c1)C2=O,393.44,1.0,5.0,5.0,0,4,0.348,81.7,2,1,1,3.79,2217,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5285037755966187
s_240690____7364902____11408452,CC1COCC(C(=O)Nc2cccc(CS(=O)Cc3ccccc3)c2)N1,372.49,2.0,4.0,6.0,0,3,0.35,67.43,2,3,1,2.45,2218,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5284960269927979
s_1458____473548____7025606,COc1ccccc1N1CCC(OC(=O)c2ccc(F)cc2F)C1=O,347.32,0.0,4.0,4.0,0,3,0.222,55.84,2,1,1,2.94,2219,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5284807085990906
m_282151____27574078____25159490____25245194,CN1CCC(CC(=O)N(CC2CCOCC2)CC2(CO)CCC2)C1=O,352.48,1.0,4.0,7.0,0,3,0.895,70.08,0,1,1,1.27,2220,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5284684896469116
m_240690____17030342____28248588,CN1CCC(N(C)C(=O)C2(CC3CC3)CCNCC2)C1=O,293.41,1.0,3.0,4.0,0,3,0.875,52.65,0,1,1,0.84,2221,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5284464359283447
m_274552____23521914____24966252____15983142,CC1OCCN(C(=O)C(CNC(=O)CN2CCOC2=O)CC2CCCC2)C1CO,411.5,2.0,6.0,8.0,0,3,0.85,108.41,0,3,1,0.36,2222,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5284366011619568
