TPD ID,TPD NAME,PubChem synonyms,SMILES,Subtype,Fomula,Target Symbol,Target ID,Ligase,Source
TPD-P58QBR,Nvp-dky709,"NVP-DKY709; 2291360-73-9; DKY709; 3-(5-(1-benzylpiperidin-4-yl)-1-oxoisoindolin-2-yl)piperidine-2,6-dione; DKY-709; NVP-DKY709?; CHEMBL5077506; SCHEMBL20765247; GTPL12583; GLXC-27294; EX-A6216; AKOS040759980; AT38274; compound 5 [PMID: 36863346]; BP-28983; MS-27288; HY-144998; CS-0436652; Z6963278709; 3-[6-(1-benzylpiperidin-4-yl)-3-oxo-1H-isoindol-2-yl]piperidine-2,6-dione",O=C1CCC(N2Cc3cc(C4CCN(Cc5ccccc5)CC4)ccc3C2=O)C(=O)N1,Degrader,C25H27N3O3,IKZF2,Q9UKS7,CRBN,10.1016/j.chembiol.2023.02.005
TPD-7WEF5B,PROTAC BRD4 Degrader-7,"PROTAC BRD4 Degrader-7; 2413382-30-4; BRD4 degrader-3; GNE11; CHEMBL5434715; SCHEMBL21846909; EX-A11422; HY-136857; CS-0134151; H38190; tert-butyl 2-[(9S)-7-[4-(3-aminoprop-1-ynyl)phenyl]-4,5,13-trimethyl-3-thia-1,8,11,12-tetrazatricyclo[8.3.0.02,6]trideca-2(6),4,7,10,12-pentaen-9-yl]acetate",Cc1sc2c(c1C)C(c1ccc(C#CCN)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2,Degrader,C26H29N5O2S,BRD2;BRD4,P25440/O60885,DCAF16,10.1021/acschembio.2c00747
TPD-RNQK6K,Bufalin,"bufalin; 465-21-4; CHEBI:517248; UNII-U549S98QLW; U549S98QLW; 3,14-Dihydroxy-bufa-20,22-dienolide; 3-beta,14-Dihydroxy-5-beta-bufa-20,22-dienolide; BUFALIN [MI]; NSC 89595; BUFALIN [WHO-DD]; 3beta,14beta-dihydroxy-5beta-bufa-20,22-dienolide; BRN 5141601; DTXSID90873563; (3beta,5beta)-3,14-dihydroxybufa-20,22-dienolide; NSC-89595; 5-[(3S,5R,8R,9S,10S,13R,14S,17R)-3,14-dihydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl]pyran-2-one; 5beta-Bufa-20,22-dienolide, 3beta,14-dihydroxy-; 5-beta-BUFA-20,22-DIENOLIDE, 3-beta,14-DIHYDROXY-; Bufa-20,22-dienolide, 3,14-dihydroxy-, (3beta,5beta)-; Bufa-20,22-dienolide, 3,14-dihydroxy-, (3-beta,5-beta)-; Bufa-20,22-dienolide, 3,14-dihydroxy-, (3.beta.,5.beta.)-; 5-((3S,5R,8R,9S,10S,13R,14S,17R)-3,14-dihydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta(a)phenanthren-17-yl)pyran-2-one; 3-.beta.,14-Dihydroxy-5-.beta.-bufa-20,22-dienolide; 5.beta.-Bufa-20,22-dienolide, 3.beta.,14-dihydroxy-; DTXCID701476780; 3b,14b-Dihydroxy-5b-bufa-20,22-dienolide; 3-b,14-Dihydroxy-5-b-bufa-20,22-dienolide; (3b,5b)-3,14-Dihydroxybufa-20,22-dienolide; 5beta-Bufa-20,22-Dienolide, 3beta,14-Dihydroxy-(8CI); Bufa-20,22-Dienolide, 3,14-Dihydroxy-, (3-Beta,5-Beta)-(9CI); Bufa-20,22-Dienolide, 3,14-Dihydroxy-, (3beta,5beta)-(9CI); qeebrpgzbvvinn-uhfffaoysa-n; 5-((3S,5R,8R,9S,10S,13R,14S,17R)-3,14-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)-2H-pyran-2-one; Bufalin?; Ch'an su; BUF; Bufalin (Standard); SCHEMBL165666; CHEMBL399680; HY-N0877R; GLXC-06974; HY-N0877; BDBM50584761; HSCI1_000110; LMST01130001; MSK161316; s7821; AKOS015965454; CS-3694; FB19349; SMP2_000290; AC-20197; AC-34068; BS-17080; DA-61937; C16922; (3ss,5ss)-3,14-Dihydroxybufa-20,22-dienolide; BRD-K63606607-001-01-8; BRD-K63606607-001-02-6; Q18379323; (3beta,5beta,10alpha,17alpha)-3,14-dihydroxybufa-20,22-dienolide; (3?,5?)-3,14-Dihydroxy-bufa-20,22-dienolide;3?,14-dihydroxy-5?-bufa-20,22-dienolide",C[C@]12CC[C@@H](C[C@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@@]3(CC[C@@H]4C5=COC(=O)C=C5)O)C)O,Degrader,C24H34O4,E2F2,Q14209,ZFP91,10.1016/j.ebiom.2022.104353
TPD-1730LX,"CR8, (R)-Isomer","(2R)-2-({9-(1-methylethyl)-6-[(4-pyridin-2-ylbenzyl)amino]-9H-purin-2-yl}amino)butan-1-ol\; (2R)-2-({9-(1-methylethyl)-6-[(4-pyridin-2-ylbenzyl)amino]-9H-purin-2-yl}amino)butan-1-ol; (2R)-2-{[9-(propan-2-yl)-6-({[4-(pyridin-2-yl)phenyl]methyl}amino)-9H-purin-2-yl]amino}butan-1-ol; (2R)-2-((9-(1-methylethyl)-6-((4-pyridin-2-ylbenzyl)amino)-9H-purin-2-yl)amino)butan-1-ol; (2R)-2-((9-(propan-2-yl)-6-(((4-(pyridin-2-yl)phenyl)methyl)amino)-9H-purin-2-yl)amino)butan-1-ol; 294646-77-8; CR8, (R)-Isomer; (R)-CR8; 1-Butanol, 2-[[9-(1-methylethyl)-6-[[[4-(2-pyridinyl)phenyl]methyl]amino]-9H-purin-2-yl]amino]-, (2R)-; (R)?-?CR8; (R)-2-((9-Isopropyl-6-((4-(pyridin-2-yl)benzyl)amino)-9H-purin-2-yl)amino)butan-1-ol; CHEMBL518800; (2R)-2-[[9-propan-2-yl-6-[(4-pyridin-2-ylphenyl)methylamino]purin-2-yl]amino]butan-1-ol; CR8; 3ddp; RC8; CDK inhibitor CR8; CR8 3HCl (R); CR-8; SCHEMBL13001902; GTPL11065; CR8-(R); DTXSID80436984; HMS3229B13; BDBM50154937; EX-A11115; AKOS025394606; CR8, >=95% (HPLC); DB08463; NCGC00370890-01; DA-48763; HY-18340; MS-27687; CS-0007451; NS00071534; G60966; EN300-25631346; BRD-K40331046-305-01-5; Q27097669; (R)-2-(9-Isopropyl-6-(4-(pyridin-2-yl)benzylamino)-9H-purin-2-ylamino)butan-1-ol; (2R)-2-[[9-propan-2-yl-6-[(4-pyridin-2-ylphenyl)methylamino]purin-2-yl]amino]butan-1-ol; CR8, (R)-Isomer",CC[C@H](CO)NC1=NC(=C2C(=N1)N(C=N2)C(C)C)NCC3=CC=C(C=C3)C4=CC=CC=N4,Degrader,C24H29N7O,CDK12;CCNK,Q9NYV4/O75909,DDB1,10.1038/s41586-020-2374-x
TPD-H36FEP,Nvs-stg2,"NVS-STG2; 3030588-01-0; 4-((4-(2-(tert-Butyl)-5,5-dimethyl-1,3-dioxan-2-yl)benzyl)amino)-3-methoxybenzoic acid; 4-({[4-(2-tert-butyl-5,5-dimethyl-1,3-dioxan-2-yl)phenyl]methyl}amino)-3-methoxybenzoic acid; Y6H; STING agonist NVS-STG2; GLXC-27681; EX-A10229; HY-157214; CS-0907430; G86934",COc1cc(C(=O)O)ccc1NCc1ccc(C2(C(C)(C)C)OCC(C)(C)CO2)cc1,Stabilizer,C25H33NO5,STING,Q86WV6,.,10.1038/s41589-023-01434-y
TPD-UYX5KC,HQ461,"2-(2-((6-methylpyridin-2-yl)amino)thiazol-4-yl)-N-(5-methylthiazol-2-yl)acetamide\; HQ461; 1226443-41-9; 2-(2-((6-methylpyridin-2-yl)amino)thiazol-4-yl)-N-(5-methylthiazol-2-yl)acetamide; 2-[2-[(6-methylpyridin-2-yl)amino]-1,3-thiazol-4-yl]-N-(5-methyl-1,3-thiazol-2-yl)acetamide; 2-[2-[(6-methylpyridin-2-yl)amino]-1,3-thiazol-4-yl]-~{N}-(5-methyl-1,3-thiazol-2-yl)ethanamide; CHEMBL5175040; SCHEMBL24101439; EX-A6338; HQ461?; AKOS024528215; MS-25304; N-(5-methyl-1,3-thiazol-2-yl)-2-{2-[(6-methylpyridin-2-yl)amino]-1,3-thiazol-4-yl}acetamide; HY-144981; CS-0436598; VU0528787-1; G67905; EN300-37447427; F5950-0461; RPW",CC1=NC(=CC=C1)NC2=NC(=CS2)CC(=O)NC3=NC=C(S3)C  ,Degrader,C15H15N5OS2,CDK12;CCNK,Q9NYV4/O75909,DDB1,10.7554/eLife.59994
TPD-U7N8WL,N-[2-chloro-5-(dimethylsulfamoyl)phenyl]prop-2-enamide,"EN450; 793719-01-4; N-[2-chloro-5-(dimethylsulfamoyl)phenyl]prop-2-enamide; N-(2-Chloro-5-(N,N-dimethylsulfamoyl)phenyl)acrylamide; N-[2-Chloro-5-[(dimethylamino)sulfonyl]phenyl]-2-propenamide; starbld0003560; EX-A7945F; GTPL12636; GLXC-27517; EN-450; EN450?; AKOS008967683; NCGC00658745-01; AS-88055; DA-63182; HY-49444; CS-0783610; G76756; EN300-7515212; Z57043669",CN(C)S(=O)(=O)C1=CC(=C(C=C1)Cl)NC(=O)C=C ,Degrader,C11H13ClN2O3S,NFKB1,P19838,UBE2D1,10.1016/j.chembiol.2023.02.008
TPD-Q90952,PMID38098458_FL2-14,.,CN(CC1=NC=C(C2CC2)O1)S(=O)(=O)OC1=CC=C(NC2=CC=C3C(=O)N(C4CCC(=O)NC4=O)C(=O)C3=C2)C=C1,Degrader,C27H25N5O8S,GSPT2,Q8IYD1,CRBN,10.1021/acschembio.3c00598
TPD-GP3QEF,Cc-90009,"Eragidomide; 1860875-51-9; CC-90009; Cereblon modulator 1; Eragidomide [INN]; 2-(4-chlorophenyl)-N-[[2-(2,6-dioxopiperidin-3-yl)-1-oxo-3H-isoindol-5-yl]methyl]-2,2-difluoroacetamide; R76M2Z6366; Compound 1 [WO2019006299A1]; compound 16 [PMID: 33591756]; 2-(4-Chlorophenyl)-N-((2-(2,6-dioxopiperidin-3-yl)-1-oxo-2,3-dihydro-1H-isoindol-5-yl)methyl)-2,2-difluoroacetamide; Compound 1 (WO2019006299A1); compound 16 (PMID: 33591756); 2-(4-chlorophenyl)-N-{[2-(2,6-dioxopiperidin-3-yl)-1-oxo-2,3-dihydro-1H-isoindol-5-yl]methyl}-2,2-difluoroacetamide; 2-(4-chlorophenyl)-N-((2-(2,6-dioxopiperidin-3-yl)-1-oxo-3H-isoindol-5-yl)methyl)-2,2-difluoroacetamide; Cereblon Modulator CC-90009; CC 90009; 2-(4-chlorophenyl)-N-((2-(2,6-dioxopiperidin-3-yl)-1-oxoisoindolin-5-yl)methyl)-2,2-difluoroacetamide; CHEMBL4742712; CC90009; MFCD32690104; Eragidomide [WHO-DD]; Eragidomide; CC-90009; SCHEMBL17420717; UNII-R76M2Z6366; GTPL11424; GLXC-23380; BCP33889; EX-A4705; KZC87551; BDBM50557457; NSC828250; s9832; AKOS040732788; AT18065; NSC-828250; AC-37776; BP-28981; DA-51789; MS-28481; SY325383; CC-90009?; HY-130800; CS-0114090; CC90009; CC 90009; Cereblon modulator 1; Z3417355787; 2-(4-Chlorophenyl)-N-[[2-(2,6-dioxo-3-piperidyl)-1-oxoisoindolin-5-yl]methyl]-2,2-difluoroacetamide",O=C1CCC(N2Cc3cc(CNC(=O)C(F)(F)c4ccc(Cl)cc4)ccc3C2=O)C(=O)N1,Degrader,C22H18ClF2N3O4,GSPT1,P15170,CRBN,10.1182/blood.2020008676
TPD-3GSS6I,DA-67756,"2-cyclobutyl-10-methyl-3-phenylpyrimido[4,5-b]quinoline-4,5(3H,10H)-dione\; 1613509-49-1; 2-cyclobutyl-10-methyl-3-phenylpyrimido[4,5-b]quinoline-4,5(3H,10H)-dione; SRI-41315; SCHEMBL15797052; XUOTZAUZHWCGHL-UHFFFAOYSA-N; DA-67756; SY311565; HY-150090; CS-0608650; F88879; 2-cyclobutyl-10-methyl-3-phenylpyrimido[4,5-b]quinoline-4,5-dione; ZVM",CN1C2=CC=CC=C2C(=O)C3=C1N=C(N(C3=O)C4=CC=CC=C4)C5CCC5,Stabilizer,C22H19N3O2,eRF1;RPS23,P62495/P62266,.,10.1038/s41589-023-01521-0
TPD-JFBQFN,N-(3-cyano-4-methyl-1H-indol-7-yl)-3-cyanobenzene-sulfonamide,"289483-69-8; E7820; E-7820; 3-cyano-N-(3-cyano-4-methyl-1H-indol-7-yl)benzenesulfonamide; E 7820; N-(3-cyano-4-methyl-1H-indol-7-yl)-3-cyanobenzene-sulfonamide; Benzenesulfonamide, 3-cyano-N-(3-cyano-4-methyl-1H-indol-7-yl)-; TVH5K7949N; NSC-719239; N-(3-cyano-4-methyl-1H-indol-7-yl)-3-cyanobenzenesulfonamide; 3-cyano-N-(3-cyano-4-methyl-1H-indol-7-yl)benzene-1-sulfonamide; ER-68203-00; UNII-TVH5K7949N; LWGUASZLXHYWIV-UHFFFAOYSA-N; O6M; SCHEMBL1581157; CHEMBL4297376; DTXSID20183142; GLXC-10196; 3-Cyano-N-(3-cyano-4-methyl-1H-indole-7-yl)benzensulfonamide; BCP25835; EX-A1818; NSC719239; NSC777573; s6628; AKOS032944953; CS-6075; DB12505; NSC-777573; SB16542; AC-36189; BS-16799; HY-14571; NS00068143; E7820?; F20780; EN300-7545157; Q27290435; Z3041516104; N-(3-cyano-4-methyl-1H -indol-7-yl)3-cyanobenzenesulfonamide",CC1=C2C(=CNC2=C(C=C1)NS(=O)(=O)C3=CC=CC(=C3)C#N)C#N ,Degrader,C17H12N4O2S,RBM39,Q14498,DCAF15,10.1038/s41589-019-0378-3
TPD-PCBVIQ,Vnpp433-3|A,CHEMBL4591875; VNPP433-3; A; VNPP433-3beta; SCHEMBL17498770; BDBM50536418; HY-160777; CS-1047639,C[C@]12CC[C@H](n3ccnc3)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(n3cnc4ccccc43)=CC[C@@H]12,Degrader,C29H34N4,AR;AR-V7,P10275/P10275-3,MDM2,10.3390/cancers15041198
TPD-EBH1OJ,"1-(7-Benzyl-2,7-diazaspiro[4.4]nonan-2-yl)prop-2-en-1-one","2191110-79-7; 1-(7-Benzyl-2,7-diazaspiro[4.4]nonan-2-yl)prop-2-en-1-one; 1-{7-benzyl-2,7-diazaspiro[4.4]nonan-2-yl}prop-2-en-1-one; SCHEMBL25809331; EN171; AKOS034007733; HY-W1005067; NCGC00659095-01; EN300-7530357; Z3616215752",C=CC(=O)N1CCC2(C1)CCN(C2)CC3=CC=CC=C3,Stabilizer,C17H22N2O,ERα;YAP;TAZ;14-3-3σ,P03372/P46937/Q9GZV5/P31947,.,10.1101/2023.11.06.565850
TPD-0FOWA4,Indoleacetic acid,"indole-3-acetic acid; 87-51-4; 3-Indoleacetic acid; indoleacetic acid; Heteroauxin; 1H-Indole-3-acetic acid; 1H-indol-3-ylacetic acid; 2-(1H-Indol-3-yl)acetic acid; Rhizopin; Rhizopon A; 3-Indolylacetic acid; Indol-3-ylacetic acid; Hexteroauxin; 3-(Carboxymethyl)indole; 3-Iaa; beta-Indoleacetic acid; Acetic acid, indolyl-; Heteroauxinhexteroauxiniaa; beta-Indolylacetic acid; Indolylacetic acid; Indolyl-3-acetic acid; indole acetic acid; omega-Skatole carboxylic acid; Kyselina 3-indolyloctova; Indoleacetic acid (VAN); (1H-Indol-3-yl)-acetic acid; CCRIS 1014; EPA Pesticide Chemical Code 128915; Kyselina 3-indolyloctova [Czech]; 3-Indolylessigsaeure; 2-(3-Indolyl)acetic acid; NSC 3787; AI3-24131; 3-Indole-Acetic acid; 2-(indol-3-yl)ethanoic acid; Indolylacetate; b-Indoleacetate; b-Indolylacetate; (indol-3-yl)acetic acid; 3-Indolylacetate; beta-Indoleacetate; beta-Indolylacetate; EINECS 201-748-2; Skatole carboxylate; Indol-3-ylacetate; Indolyl-3-acetate; b-Indoleacetic acid; b-Indolylacetic acid; DTXSID5020738; CHEBI:16411; 1H-Indole-3-acetate; Skatole carboxylic acid; 6U1S09C61L; 1H-Indole-3-acetic acid (9CI); 2-(3-Indolyl)acetate; NSC-3787; beta-Indole-3-acetic acid; (1H-Indol-3-yl)-acetate; alpha-Indol-3-yl-acetic acid; DTXCID70738; Indole-3-acetic acid (8CI); INDOLEACETIC ACID [MI]; IES cpd; 3Indoleacetic acid; Indole3acetic acid; Indol3ylacetic acid; betaIndoleacetic acid; Acetic acid, indolyl; 1HIndole3acetic acid; betaIndolylacetic acid; 3(Carboxymethyl)indole; Kyselina 3indolyloctova; omegaSkatole carboxylic acid; 3Indolylmethylcarboxylic acid; 1HIndole3acetic acid (9CI); INDOLE ACETIC ACID [INCI]; inchi=1/c10h9no2/c12-10(13)5-7-6-11-9-4-2-1-3-8(7)9/h1-4,6,11h,5h2,(h,12,13; auxin; IAA; indoleacetate; (indol-3-yl)acetate; MFCD00005636; (1H-Indol-3-yl)acetic acid; .alpha.-IAA; .beta.-IAA; 3-indole acetic acid; .beta.-Indoleacetic acid; .beta.-Indolylacetic acid; .beta.-Indole-3-acetic acid; CHEMBL82411; .omega.-Skatole carboxylic acid; .alpha.-Indol-3-yl-acetic acid; NSC3787; 3-indoleacetate; 2-indol-3-ylacetic acid; (1H-indol-3-yl)acetate; CAS-87-51-4; IES; SMR000471855; Indole 3-acetic acid; 3-indolyl acetic acid; UNII-6U1S09C61L; alpha-IAA; beta-IAA; IAC; Indole-3acetic acid; indole-3-acetic-acid; 3-indolyl-acetic acid; Acid, 6; 3-Indoleacetic acidIAA; Indole-3-acetic-t acid; 1H-indol-3-acetic acid; Maybridge1_006755; indole, 3-carboxymethyl-; 1H-Indole 3-acetic acid; bmse000177; Indole-3-acetic acid/IAA; 3-Indoleacetic acid, 98%; 3-Indoleacetic acid, 99%; Oprea1_602123; SCHEMBL26344; MLS001066408; MLS001331664; MLS001332399; MLS001332400; 3-Indolylmethylcarboxylic acid; WLN: T56 BMJ D1VQ; [3H]-IAA; 3-Indolyl acetic acid 100 microg/mL in Acetonitrile; SCHEMBL1641591; SCHEMBL3448734; SCHEMBL8087155; acetic acid, 2-(3-indolyl)-; HMS560L01; 2-(1H-indol-3-yl)-acetic acid; HMS2269G24; HMS3604M04; BCP26623; MSK24053; Tox21_202284; Tox21_302731; BBL009348; BDBM50201883; CCG-51070; s4799; SBB017530; STK397461; AKOS000119890; 1H-Indole-3-acetic-a-t acid (9CI); AC-2974; CG-0522; CS-6287; DB07950; FI09866; SDCCGMLS-0066204.P001; 3-Indoleacetic acid, >=98.0% (T); NCGC00247039-01; NCGC00247039-02; NCGC00247039-07; NCGC00256391-01; NCGC00259833-01; HY-18569; SY003464; DB-011566; EU-0099905; I0022; NS00014849; ST45025209; 3-Indoleacetic acid, technical, >=95% (T); EN300-17303; C00954; Q411208; SR-01000596909; 3-Indoleacetic acid, SAJ special grade, >=98.5%; IS_INDOLE-2,4,5,6,7-D5-3-ACETIC ACID; SR-01000596909-1; SR-01000596909-2; Z56913182; 2-(3-Indolyl)acetic acid 3-(Carboxymethyl)-1H-indole; 3-Indoleacetic acid, PESTANAL(R), analytical standard; F0722-8837; 0A0524AE-D755-4E91-A73A-2AD867FE676A; 3-Indoleacetic acid, plant cell culture tested, crystalline",O=C(O)Cc1c[nH]c2ccccc12,Degrader,C10H9NO2,IAA7,F4J2U7,TIR1,10.1038/nature05731
TPD-OTZLID,NST-628,NST-628; 3002056-30-3; A1AHE; 3-[[3-fluoro-2-(methylsulfamoylamino)pyridin-4-yl]methyl]-7-(3-fluoropyridin-2-yl)oxy-4-methylchromen-2-one; SCHEMBL26613859; GTPL13370; EX-A8853; HY-158115; CS-1047734; H38918,CC1=C(C(=O)OC2=C1C=CC(=C2)OC3=C(C=CC=N3)F)CC4=C(C(=NC=C4)NS(=O)(=O)NC)F ,Stabilizer,C22H18F2N4O5S,ARAF;MEK1,P10398/Q02750,.,10.1158/2159-8290.CD-24-0139
TPD-T50FF4,Anagrelide,"anagrelide; 68475-42-3; Anagrelida; Anagrelidum; Anagrelidum [INN-Latin]; Anagrelida [INN-Spanish]; HSDB 7325; BL 416201; BRN 0619582; UNII-K9X45X0051; CHEBI:142290; 6,7-Dichlor-1,5-dihydroimidazo(2,1-b)chinazolin-2(3H)-on; 6,7-Dichloro-1,5-dihydroimidazo(2,1-b)quinazolin-2(3H)-one; K9X45X0051; Imidazo[2,1-b]quinazolin-2(3H)-one, 6,7-dichloro-1,5-dihydro-; Imidazo(2,1-b)quinazolin-2(3H)-one, 6,7-dichloro-1,5-dihydro-; Anagrelidum (INN-Latin); Anagrelida (INN-Spanish); 6,7-dichloro-1,5-dihydroimidazo[2,1-]quinazolin-2(3H)-one; 6,7-Dichloro-1,5-dihydroimidazo[2,1-b]quinazolin-2(3H)-one; 6,7-dichloro-1,5-dihydroimidazo(2,1-)quinazolin-2(3H)-one; 6,7-dichloro-1,5-dihydroimidazo[2,1-b]quinazolin-2[3H]-one; DTXCID6028280; L01XX35; 6,7-Dichloro-1,5-dihydroimidazo; 6,7-dichloro-1,2,3,5-tetrahydroimidazo; dtxsid4048305; Xagrid; 6,7-dichloro-5,10-dihydro-3H-imidazo[2,1-b]quinazolin-2-one; Agrelin; CHEMBL760; Anagrelide(13C3); BL-4162A; Anagrelide [INN:BAN]; 6,7-dichloro-1H,2H,3H,5H-imidazolidino[2,1-b]quinazolin-2-one; 6,7-bis(chloranyl)-3,5-dihydro-1H-imidazo[2,1-b]quinazolin-2-one; Imidazo(2,1-b)quinazolin-2(3H)-one, 6,7-dichloro-1,5-dihydro-, monohydrochloride; Anagrelide (INN/BAN); MFCD00866794; ANAGRELIDE [MI]; ANAGRELIDE [INN]; ANAGRELIDE [HSDB]; ANAGRELIDE [VANDF]; SCHEMBL9411; ANAGRELIDE [WHO-DD]; ANAGRELIDE [EMA EPAR]; BIDD:GT0711; SCHEMBL318594; GTPL7114; OTBXOEAOVRKTNQ-UHFFFAOYSA-N; HMS2089D21; HMS3715J06; HMS3742K13; BCP21314; HY-B0523; UYB53158; BDBM50000334; AKOS015899342; AKOS016340524; AC-3401; CCG-221242; DB00261; KS-5176; NCGC00161408-02; NCGC00161408-08; NCGC00247665-01; AS-14157; FA168205; SBI-0206823.P001; DB-055153; CS-0009495; NS00006904; D07455; EN300-187333; G83851; AB00698496-05; AB00698496-07; AB00698496_08; AB01566808_01; Q408163; 6,7-dichloro-3H,5H-imidazo[2,1-b]quinazolin-2-ol; BRD-K62200014-001-02-6; BRD-K62200014-003-05-5; BRD-K62200014-003-08-9; BRD-K62200014-003-10-5; BRD-K62200014-003-11-3; 6,7-Dichloro-1,5-dihydro-imidazo[2,1-b]quinazolin-2-one; 6,7-dichloro-1h,5h-imidazo[2,1-b]quinazoline-2(3h)-one; 6,7-dichloro-1, 5-dihydroimidazo[2,1-b]quinazolin-2[3H]-one; 6,7-Dichloro-1,5-dihydroimidazo[2,1-b]-quinazolin-2(3H)-one; 6,7-dichloro-1,5dihydroimidazo[2,1-b]quinazolin-2[3H]-one; 6,7-dichloro-3,5-dihydro-1H-imidazo[2,1-b]quinazolin-2-one; 6,7-Dichloro-1,5-dihydro-imidazo[2,1-b]quinazolin-2-one(anagrelide); 6,7-Dichloro-1,5-dihydro-imidazo[2,1-b]quinazolin-2-one(BL-4162A); J33",O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1,Stabilizer,C10H7Cl2N3O,PDE3A;SLFN12,Q14432/Q8IYM2,.,10.1021/acsmedchemlett.3c00092
TPD-5QPVXN,UM171,"4-N-[2-benzyl-7-(2-methyltetrazol-5-yl)-9H-pyrimido[4,5-b]indol-4-yl]cyclohexane-1,4-diamine\; UM171; 1448724-09-1; UM-171; 8XZ4J0KS9C; 4-N-[2-benzyl-7-(2-methyltetrazol-5-yl)-9H-pyrimido[4,5-b]indol-4-yl]cyclohexane-1,4-diamine; A1ACV; ((1R, 4R)-N1-(2-Benzyl-7-(2-methyl-2H-tetrazol-5-yl)-9H-pyrimido(4,5-b)indol-4-yl)cyclohexane-1,4-diamine; 1,4-Cyclohexanediamine, N1-(7-(2-methyl-2H-tetrazol-5-yl)-2-(phenylmethyl)-9H-pyrimido(4,5-b)indol-4-yl)-, trans-; trans-N1-(7-(2-Methyl-2H-tetrazol-5-yl)-2-(phenylmethyl)-9H-pyrimido(4,5-b)indol-4-yl)-1,4-cyclohexanediamine; trans-N1-[7-(2-Methyl-2H-tetrazol-5-yl)-2-(phenylmethyl)-9H-pyrimido[4,5-b]indol-4-yl]-1,4-cyclohexanediamine; UNII-8XZ4J0KS9C; CHEMBL4535214; SCHEMBL15151854; SCHEMBL18096437; SCHEMBL20953135; SCHEMBL23552414; UM-171 pound>>UM 171; DTXSID201108994; GLXC-15343; BCP23874; YHC72409; s7608; AT41606; CCG-269273; CS-7617; NCGC00384196-02; HY-12878; TS-08582; (1r,4r)-N1-(2-Benzyl-7-(2-methyl-2H-tetrazol-5-yl)-9H-pyrimido[4,5-b]indol-4-yl)cyclohexane-1,4-diamine",CN1N=C(N=N1)C2=CC3=C(C=C2)C4=C(N3)N=C(N=C4NC5CCC(CC5)N)CC6=CC=CC=C6  ,Degrader,C25H27N9,HDAC2;HDAC1,Q92769/Q13547,KBTBD4,10.1101/2024.05.14.593897
TPD-SDDU4X,CC-885,"CC-885; 3-(3-chloro-4-methylphenyl)-1-[[2-(2,6-dioxopiperidin-3-yl)-1-oxo-3H-isoindol-5-yl]methyl]urea; 3-(3-chloro-4-methylphenyl)-1-((2-(2,6-dioxopiperidin-3-yl)-1-oxo-3H-isoindol-5-yl)methyl)urea; 1010100-07-8; N-(3-chloro-4-methylphenyl)-N'-[[2-(2,6-dioxo-3-piperidinyl)-2,3-dihydro-1-oxo-1H-isoindol-5-yl]methyl]-urea; 1-(3-chloro-4-methylphenyl)-3-((2-(2,6-dioxopiperidin-3-yl)-1-oxoisoindolin-5-yl)methyl)urea; MFCD31657329; CHEMBL4170596; 1-(3-Chloro-4-methyl-phenyl)-3-[2-(2,6-dioxo-piperidin-3-yl)-1-oxo-2,3-dihydro-1H-isoindol-5-ylmethyl]-urea; 1-(3-Chloro-4-methylphenyl)-3-[[2-(2,6-dioxopiperidin-3-yl)-1-oxoisoindolin-5-yl]methyl]urea; SCHEMBL61575; 1-(3-chloro-4-methylphenyl)-3-[[2-(2,6-dioxopiperidin-3-yl)-1-oxo-3H-isoindol-5-yl]methyl]urea; GTPL9224; TQR1238; DOEVCIHTTTYVCC-UHFFFAOYSA-N; GLXC-10033; EX-A5312; KQB10007; BDBM50631119; s8300; AKOS037653341; AT11460; CC-885?; AC-37841; BP-42110; DA-72005; SY326093; HY-101488; CS-0021543; EN300-22883929; Z3417407631; 1-(3-chloro-4-methylphenyl)-3-{[2-(2,6-dioxopiperidin-3-yl)-1-oxo-2,3-dihydro-1H-isoindol-5-yl]methyl}urea",Cc1ccc(NC(=O)NCc2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)cc1Cl,Degrader,C22H21ClN4O4,GSPT1;CDK4,P15170/P11802,CRBN,10.1016/j.bbrc.2021.02.110
TPD-L7AVW8,TrkA,10.1016/j.bmcl.2019.126775,Stabilizer,P04629,.,PMID31699609_V1,.,Nc1c(N2CC[NH+](C3CCCCC3)CC2)cc(Nc2ccc(C(=O)[O-])cc2)c2c1C(=O)c1ccccc1C2=O,C31H32N4O4
