TPD ID,Activity Type,Target Symbols,Target IDs,Cell Line,Activity
TPD-SJ3VL9,Dmax_2(2μM),SIRT6,Q8N6T7,SK-HEP-1,99.80%
TPD-OU9NBT,Dmax_2(2μM),SIRT6,Q8N6T7,SK-HEP-1,92.50%
TPD-N5IWUB,Dmax_2(2μM),SIRT6,Q8N6T7,SK-HEP-1,56.60%
TPD-Y0KW1C,Dmax_2(2μM),SIRT6,Q8N6T7,SK-HEP-1,19.80%
TPD-1D64R9,Dmax_1,IKZF1,Q13422,MV-4-11,A
TPD-4CU130,Dmax_1,IKZF1,Q13422,MV-4-11,A
TPD-67UXU2,Dmax_1,IKZF1,Q13422,MV-4-11,A
TPD-1D64R9,Dmax_2,CK1α,P48729,MV-4-11,B
TPD-4CU130,Dmax_2,CK1α,P48729,MV-4-11,B
TPD-67UXU2,Dmax_2,CK1α,P48729,MV-4-11,A
TPD-I1CLO5,Inhibition(1μM),.,.,MOLM-13,A
TPD-0XGXGD,Inhibition(1μM),.,.,MOLM-13,D
TPD-0SPC34,Inhibition(1μM),.,.,MOLM-13,A
TPD-WJG4XA,Inhibition(1μM),.,.,MOLM-13,D
TPD-VSM2ZA,Inhibition(1μM),.,.,MOLM-13,D
TPD-T6VAYX,Inhibition(1μM),.,.,MOLM-13,D
TPD-9MDN3M,Inhibition(1μM),.,.,MOLM-13,D
TPD-HTOE4A,Inhibition(1μM),.,.,MOLM-13,C
TPD-RSY1ZG,Inhibition(1μM),.,.,MOLM-13,C
TPD-8QX0HD,Inhibition(1μM),.,.,MOLM-13,D
TPD-MN0CG5,Inhibition(1μM),.,.,MOLM-13,D
TPD-RQZLCF,Inhibition(1μM),.,.,MOLM-13,D
TPD-34IDI9,Inhibition(1μM),.,.,MOLM-13,A
TPD-CZCKQE,Inhibition(1μM),.,.,MOLM-13,D
TPD-L5SAJD,Inhibition(1μM),.,.,MOLM-13,C
TPD-CR19GY,Inhibition(1μM),.,.,MOLM-13,D
TPD-PND18P,Inhibition(1μM),.,.,MOLM-13,D
TPD-2PHCI0,Inhibition(1μM),.,.,MOLM-13,C
TPD-9ZOM0M,Inhibition(1μM),.,.,MOLM-13,D
TPD-MDHIG0,Inhibition(1μM),.,.,MOLM-13,D
TPD-6TLNFV,Inhibition(1μM),.,.,MOLM-13,A
TPD-PN28KY,Inhibition(1μM),.,.,MOLM-13,A
TPD-BQIPD0,Inhibition(1μM),.,.,MOLM-13,A
TPD-QI1202,Inhibition(1μM),.,.,MOLM-13,A
TPD-Y8VLYY,Inhibition(1μM),.,.,MOLM-13,D
TPD-BJCB8I,Inhibition(1μM),.,.,MOLM-13,A
TPD-HSEK6K,Inhibition(1μM),.,.,MOLM-13,A
TPD-GWFS7E,Inhibition(1μM),.,.,MOLM-13,D
TPD-OUN0Z6,EC50_1,IKZF1,Q13422,GripTite 293 MSR,0.057μM
TPD-9BQ0UC,EC50_1,IKZF1,Q13422,GripTite 293 MSR,0.046μM
TPD-OUN0Z6,Dmax_1,IKZF1,Q13422,GripTite 293 MSR,75%
TPD-9BQ0UC,Dmax_1,IKZF1,Q13422,GripTite 293 MSR,>90%
TPD-XS5RPH,EC50_2,GSPT1,P15170,GripTite 293 MSR,0.170μM
TPD-XS5RPH,Dmax_2,GSPT1,P15170,GripTite 293 MSR,80%
TPD-LFN6D0,IC50_1,.,.,VCaP,D
TPD-VH8DQ0,IC50_1,.,.,VCaP,D
TPD-ERZW9S,IC50_1,.,.,VCaP,D
TPD-8KNVWI,IC50_1,.,.,VCaP,D
TPD-TDAGCR,IC50_1,.,.,VCaP,D
TPD-GVGHLI,IC50_1,.,.,VCaP,D
TPD-X5OPPJ,IC50_1,.,.,VCaP,C
TPD-MGXQ2Q,IC50_1,.,.,VCaP,D
TPD-JK2W52,IC50_1,.,.,VCaP,D
TPD-ARWONA,IC50_1,.,.,VCaP,D
TPD-LFN6D0,IC50_2,.,.,22Rv1-Enz,D
TPD-VH8DQ0,IC50_2,.,.,22Rv1-Enz,D
TPD-ERZW9S,IC50_2,.,.,22Rv1-Enz,D
TPD-8KNVWI,IC50_2,.,.,22Rv1-Enz,D
TPD-TDAGCR,IC50_2,.,.,22Rv1-Enz,D
TPD-GVGHLI,IC50_2,.,.,22Rv1-Enz,D
TPD-X5OPPJ,IC50_2,.,.,22Rv1-Enz,D
TPD-MGXQ2Q,IC50_2,.,.,22Rv1-Enz,D
TPD-JK2W52,IC50_2,.,.,22Rv1-Enz,D
TPD-ARWONA,IC50_2,.,.,22Rv1-Enz,D
TPD-GHHGQG,Dmax,GSPT1,P15170,AML(KG-1),A
TPD-JEJ5K8,Dmax,GSPT1,P15170,AML(KG-1),A
TPD-L0I189,Dmax,GSPT1,P15170,AML(KG-1),A
TPD-YTZKG6,Dmax,GSPT1,P15170,AML(KG-1),A
TPD-Y6HHZ1,Dmax,GSPT1,P15170,AML(KG-1),B
TPD-XXX0CD,Dmax,GSPT1,P15170,AML(KG-1),B
TPD-S5YJAJ,Dmax,GSPT1,P15170,AML(KG-1),B
TPD-GHHGQG,IC50_1,.,.,AML(KG-1),C
TPD-JEJ5K8,IC50_1,.,.,AML(KG-1),C
TPD-L0I189,IC50_1,.,.,AML(KG-1),C
TPD-YTZKG6,IC50_1,.,.,AML(KG-1),C
TPD-Y6HHZ1,IC50_1,.,.,AML(KG-1),C
TPD-XXX0CD,IC50_1,.,.,AML(KG-1),C
TPD-S5YJAJ,IC50_1,.,.,AML(KG-1),D
